"Suburb","Address","Rooms","Type","Price","Date","Distance","Bedroom","Bathroom","Car","Regionname","Propertycount","Year","Price_thousand"
"Abbotsford","85 Turner St",2,"house,cottage,villa,semi,terrace",1480000,2016-12-03,2.5,2,1,1,"Northern Metropolitan",4019,"2016",1480
"Abbotsford","25 Bloomburg St",2,"house,cottage,villa,semi,terrace",1035000,2016-02-04,2.5,2,1,0,"Northern Metropolitan",4019,"2016",1035
"Abbotsford","5 Charles St",3,"house,cottage,villa,semi,terrace",1465000,2017-03-04,2.5,3,2,0,"Northern Metropolitan",4019,"2017",1465
"Abbotsford","40 Federation La",3,"house,cottage,villa,semi,terrace",850000,2017-03-04,2.5,3,2,1,"Northern Metropolitan",4019,"2017",850
"Abbotsford","55a Park St",4,"house,cottage,villa,semi,terrace",1600000,2016-06-04,2.5,3,1,2,"Northern Metropolitan",4019,"2016",1600
"Abbotsford","129 Charles St",2,"house,cottage,villa,semi,terrace",941000,2016-05-07,2.5,2,1,0,"Northern Metropolitan",4019,"2016",941
"Abbotsford","124 Yarra St",3,"house,cottage,villa,semi,terrace",1876000,2016-05-07,2.5,4,2,0,"Northern Metropolitan",4019,"2016",1876
"Abbotsford","98 Charles St",2,"house,cottage,villa,semi,terrace",1636000,2016-10-08,2.5,2,1,2,"Northern Metropolitan",4019,"2016",1636
"Abbotsford","6/241 Nicholson St",1,"unit,duplex",3e+05,2016-10-08,2.5,1,1,1,"Northern Metropolitan",4019,"2016",300
"Abbotsford","10 Valiant St",2,"house,cottage,villa,semi,terrace",1097000,2016-10-08,2.5,3,1,2,"Northern Metropolitan",4019,"2016",1097
"Abbotsford","411/8 Grosvenor St",2,"unit,duplex",7e+05,2016-11-12,2.5,2,2,1,"Northern Metropolitan",4019,"2016",700
"Abbotsford","40 Nicholson St",3,"house,cottage,villa,semi,terrace",1350000,2016-11-12,2.5,3,2,2,"Northern Metropolitan",4019,"2016",1350
"Abbotsford","123/56 Nicholson St",2,"unit,duplex",750000,2016-11-12,2.5,2,2,1,"Northern Metropolitan",4019,"2016",750
"Abbotsford","45 William St",2,"house,cottage,villa,semi,terrace",1172500,2016-08-13,2.5,2,1,1,"Northern Metropolitan",4019,"2016",1172.5
"Abbotsford","7/20 Abbotsford St",1,"unit,duplex",441000,2016-05-14,2.5,1,1,1,"Northern Metropolitan",4019,"2016",441
"Abbotsford","16 William St",2,"house,cottage,villa,semi,terrace",1310000,2016-10-15,2.5,2,1,2,"Northern Metropolitan",4019,"2016",1310
"Abbotsford","42 Henry St",3,"house,cottage,villa,semi,terrace",1200000,2016-07-16,2.5,3,2,1,"Northern Metropolitan",4019,"2016",1200
"Abbotsford","78 Yarra St",3,"house,cottage,villa,semi,terrace",1176500,2016-07-16,2.5,2,1,1,"Northern Metropolitan",4019,"2016",1176.5
"Abbotsford","196 Nicholson St",3,"house,cottage,villa,semi,terrace",955000,2016-09-17,2.5,3,1,0,"Northern Metropolitan",4019,"2016",955
"Abbotsford","42 Valiant St",2,"house,cottage,villa,semi,terrace",890000,2016-09-17,2.5,2,1,1,"Northern Metropolitan",4019,"2016",890
"Abbotsford","3/72 Charles St",4,"house,cottage,villa,semi,terrace",1330000,2017-03-18,2.5,4,2,2,"Northern Metropolitan",4019,"2017",1330
"Abbotsford","13/11 Nicholson St",3,"townhouse",9e+05,2017-03-18,2.5,3,2,2,"Northern Metropolitan",4019,"2017",900
"Abbotsford","138/56 Nicholson St",3,"unit,duplex",1090000,2017-03-18,2.5,3,2,2,"Northern Metropolitan",4019,"2017",1090
"Abbotsford","6/219 Nicholson St",2,"unit,duplex",5e+05,2016-06-18,2.5,2,1,1,"Northern Metropolitan",4019,"2016",500
"Abbotsford","52a William St",2,"house,cottage,villa,semi,terrace",1100000,2016-06-18,2.5,2,2,1,"Northern Metropolitan",4019,"2016",1100
"Abbotsford","49 Park St",2,"house,cottage,villa,semi,terrace",1315000,2016-11-19,2.5,2,1,0,"Northern Metropolitan",4019,"2016",1315
"Abbotsford","5/20 Abbotsford St",1,"unit,duplex",426000,2016-08-22,2.5,1,1,1,"Northern Metropolitan",4019,"2016",426
"Abbotsford","48 Abbotsford St",3,"house,cottage,villa,semi,terrace",1447500,2016-08-22,2.5,3,3,1,"Northern Metropolitan",4019,"2016",1447.5
"Abbotsford","116/56 Nicholson St",1,"unit,duplex",457000,2016-08-22,2.5,1,1,1,"Northern Metropolitan",4019,"2016",457
"Abbotsford","159 Park St",2,"house,cottage,villa,semi,terrace",1135000,2016-08-22,2.5,2,2,2,"Northern Metropolitan",4019,"2016",1135
"Abbotsford","31 Turner St",4,"house,cottage,villa,semi,terrace",1542000,2016-09-24,2.5,4,3,1,"Northern Metropolitan",4019,"2016",1542
"Abbotsford","166 Gipps St",3,"house,cottage,villa,semi,terrace",1290000,2017-02-25,2.5,3,2,2,"Northern Metropolitan",4019,"2017",1290
"Abbotsford","60 Stafford St",3,"house,cottage,villa,semi,terrace",1290000,2017-02-25,2.5,3,1,1,"Northern Metropolitan",4019,"2017",1290
"Abbotsford","11/205 Gipps St",1,"unit,duplex",470000,2016-07-26,2.5,1,1,1,"Northern Metropolitan",4019,"2016",470
"Abbotsford","47 Studley St",2,"house,cottage,villa,semi,terrace",1180000,2016-11-27,2.5,2,1,0,"Northern Metropolitan",4019,"2016",1180
"Abbotsford","45 Yarra St",3,"house,cottage,villa,semi,terrace",1195000,2016-11-27,2.5,3,2,1,"Northern Metropolitan",4019,"2016",1195
"Abbotsford","200 Nicholson St",2,"house,cottage,villa,semi,terrace",1012500,2016-05-28,2.5,2,1,0,"Northern Metropolitan",4019,"2016",1012.5
"Abbotsford","27 Charles St",2,"house,cottage,villa,semi,terrace",1030000,2016-07-30,2.5,2,1,1,"Northern Metropolitan",4019,"2016",1030
"Airport West","154 Halsey Rd",3,"townhouse",840000,2016-09-03,13.5,3,2,1,"Western Metropolitan",3464,"2016",840
"Airport West","50 Bedford St",3,"house,cottage,villa,semi,terrace",770000,2017-03-04,13.5,3,2,1,"Western Metropolitan",3464,"2017",770
"Airport West","23 Hart St",2,"house,cottage,villa,semi,terrace",603000,2017-03-04,13.5,2,1,1,"Western Metropolitan",3464,"2017",603
"Airport West","1/80 Hawker St",3,"townhouse",7e+05,2017-03-04,13.5,3,2,2,"Western Metropolitan",3464,"2017",700
"Airport West","1/37 Hillside Gr",3,"house,cottage,villa,semi,terrace",6e+05,2017-03-04,13.5,2,1,1,"Western Metropolitan",3464,"2017",600
"Airport West","2/49 McIntosh St",2,"unit,duplex",5e+05,2017-03-04,13.5,2,1,1,"Western Metropolitan",3464,"2017",500
"Airport West","54 Marshall Rd",3,"house,cottage,villa,semi,terrace",720000,2016-08-06,13.5,2,1,1,"Western Metropolitan",3464,"2016",720
"Airport West","36 Roberts Rd",4,"house,cottage,villa,semi,terrace",785000,2016-08-06,13.5,3,1,2,"Western Metropolitan",3464,"2016",785
"Airport West","11 Harrington Rd",6,"house,cottage,villa,semi,terrace",725000,2016-05-07,13.5,6,3,2,"Western Metropolitan",3464,"2016",725
"Airport West","2/252 Parer Rd",2,"townhouse",450000,2016-05-07,13.5,2,1,1,"Western Metropolitan",3464,"2016",450
"Airport West","3/19 Hart St",2,"unit,duplex",515000,2016-11-07,13.5,2,1,1,"Western Metropolitan",3464,"2016",515
"Airport West","2/62 Clydesdale Rd",2,"unit,duplex",530000,2016-09-10,13.5,2,1,1,"Western Metropolitan",3464,"2016",530
"Airport West","3 Deidre Ct",3,"house,cottage,villa,semi,terrace",895000,2016-09-10,13.5,3,1,6,"Western Metropolitan",3464,"2016",895
"Airport West","13 Etzel St",3,"house,cottage,villa,semi,terrace",805000,2016-12-10,13.5,3,1,1,"Western Metropolitan",3464,"2016",805
"Airport West","1/43 Cameron St",3,"unit,duplex",752000,2017-02-11,13.5,3,1,1,"Western Metropolitan",3464,"2017",752
"Airport West","145a Victory Rd",2,"unit,duplex",440000,2016-08-13,13.5,2,1,1,"Western Metropolitan",3464,"2016",440
"Airport West","241 Parer Rd",5,"house,cottage,villa,semi,terrace",755000,2016-05-14,13.5,3,2,2,"Western Metropolitan",3464,"2016",755
"Airport West","2/40 Earl St",3,"townhouse",7e+05,2016-10-15,13.5,3,2,2,"Western Metropolitan",3464,"2016",700
"Airport West","180 Parer Rd",3,"house,cottage,villa,semi,terrace",830000,2016-04-16,13.5,3,1,2,"Western Metropolitan",3464,"2016",830
"Airport West","4/54 Hawker St",2,"unit,duplex",462500,2016-07-16,13.5,2,1,1,"Western Metropolitan",3464,"2016",462.5
"Airport West","43 Hillside Gr",3,"house,cottage,villa,semi,terrace",670000,2016-07-16,13.5,3,2,2,"Western Metropolitan",3464,"2016",670
"Airport West","174 Parer Rd",2,"house,cottage,villa,semi,terrace",675000,2016-07-16,13.5,2,1,1,"Western Metropolitan",3464,"2016",675
